name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-30-5,2,0.67,13,2,164,1211,0,0.738355,31,1211,0.526347,328,1242,0.015237,31,0.031633,14,338,205,131,1,0,0,1,0,164,21,3/192,1,0.4878,1319
poi-30-5,2,0.67,13,3,82,487,0,1.42528,59,487,0.884349,324,629,0.039296,52,0.027779,13,522,478,42,0,0,0,2,0,82,7,4/192,0,0.986226,820
poi-30-5,2,0.67,13,3,164,1211,0,1.13328,183,1211,0.734323,796,1262,0.030058,109,0.049613,14,360,282,71,2,0,0,5,0,164,21,3/192,1,1.0954,1319
poi-30-5,2,0.67,26,1,82,500,0,10.1761,2177,500,2.33113,315,735,0.116487,1235,0.137269,51,845,673,63,70,0,0,22,17,81,8,3/1566,5,2.44942,1074
poi-30-5,2,0.67,26,1,164,1330,0,14.3208,1690,1330,0.85383,791,1397,0.15853,1088,0.388545,64,2296,1141,265,754,1,0,115,20,164,20,8/1566,2,0.614951,1452
poi-30-5,2,0.67,26,2,82,529,0,33.4754,3834,529,5.43527,314,762,0.210861,2123,0.230934,71,1385,1096,69,136,0,0,62,22,82,8,4/1566,0,9.5009,1074
poi-30-5,2,0.67,26,2,164,1357,0,6.55493,323,1357,5.03,1354,1383,0.042156,260,0.229232,51,732,216,158,265,0,0,88,5,163,21,7/1566,1,1.06738,1452
poi-30-5,2,0.67,26,3,82,529,0,19.9859,3352,529,5.39961,256,746,0.164152,1941,0.193551,53,738,546,54,67,0,0,40,31,82,8,4/1566,0,10.9354,1074
poi-30-5,2,0.67,26,3,164,1371,0,34.2767,1754,1371,2.54194,748,1395,0.194559,1458,0.447202,87,1459,637,235,413,1,0,149,24,164,21,8/1566,1,1.25622,1452
poi-30-5,2,1.33,13,1,82,594,0,1.54174,159,594,1.00477,160,716,0.018588,108,0.039811,25,376,306,62,2,0,0,6,0,82,7,3/192,0,1.28284,948
